strategy,threshold,accuracy,precision,recall,f1,tp,tn,fp,fn,positive_predictions
iid,0.05,0.066,0.0351,1.0,0.0679,68,64,1868,0,1936
iid,0.06,0.0865,0.0359,1.0,0.0693,68,105,1827,0,1895
iid,0.07,0.1115,0.0369,1.0,0.0711,68,155,1777,0,1845
iid,0.08,0.136,0.0379,1.0,0.073,68,204,1728,0,1796
iid,0.09,0.1495,0.0384,1.0,0.074,68,231,1701,0,1769
iid,0.1,0.172,0.0394,1.0,0.0759,68,276,1656,0,1724
iid,0.11,0.1905,0.0398,0.9853,0.0764,67,314,1618,1,1685
iid,0.12,0.205,0.0405,0.9853,0.0777,67,343,1589,1,1656
iid,0.13,0.23,0.0411,0.9706,0.0789,66,394,1538,2,1604
iid,0.14,0.2555,0.0425,0.9706,0.0814,66,445,1487,2,1553
iid,0.15,0.2755,0.043,0.9559,0.0823,65,486,1446,3,1511
iid,0.16,0.293,0.044,0.9559,0.0842,65,521,1411,3,1476
iid,0.17,0.3115,0.0452,0.9559,0.0863,65,558,1374,3,1439
iid,0.18,0.334,0.0466,0.9559,0.0889,65,603,1329,3,1394
iid,0.19,0.3525,0.0479,0.9559,0.0912,65,640,1292,3,1357
iid,0.2,0.3715,0.0493,0.9559,0.0937,65,678,1254,3,1319
iid,0.21,0.392,0.0509,0.9559,0.0966,65,719,1213,3,1278
iid,0.22,0.4055,0.0512,0.9412,0.0972,64,747,1185,4,1249
iid,0.23,0.424,0.0528,0.9412,0.1,64,784,1148,4,1212
iid,0.24,0.4405,0.0535,0.9265,0.1012,63,818,1114,5,1177
iid,0.25,0.4545,0.0548,0.9265,0.1035,63,846,1086,5,1149
iid,0.26,0.475,0.0569,0.9265,0.1071,63,887,1045,5,1108
iid,0.27,0.4905,0.0585,0.9265,0.11,63,918,1014,5,1077
iid,0.28,0.505,0.0601,0.9265,0.1129,63,947,985,5,1048
iid,0.29,0.5235,0.0623,0.9265,0.1168,63,984,948,5,1011
iid,0.3,0.535,0.0629,0.9118,0.1176,62,1008,924,6,986
iid,0.31,0.5465,0.0635,0.8971,0.1186,61,1032,900,7,961
iid,0.32,0.557,0.0649,0.8971,0.121,61,1053,879,7,940
iid,0.33,0.569,0.0666,0.8971,0.124,61,1077,855,7,916
iid,0.34,0.584,0.0688,0.8971,0.1279,61,1107,825,7,886
iid,0.35,0.5955,0.0697,0.8824,0.1292,60,1131,801,8,861
iid,0.36,0.609,0.0709,0.8676,0.1311,59,1159,773,9,832
iid,0.37,0.625,0.0737,0.8676,0.1359,59,1191,741,9,800
iid,0.38,0.6425,0.0749,0.8382,0.1375,57,1228,704,11,761
iid,0.39,0.66,0.0773,0.8235,0.1414,56,1264,668,12,724
iid,0.4,0.669,0.0793,0.8235,0.1447,56,1282,650,12,706
iid,0.41,0.677,0.0799,0.8088,0.1455,55,1299,633,13,688
iid,0.42,0.6915,0.0835,0.8088,0.1513,55,1328,604,13,659
iid,0.43,0.705,0.0857,0.7941,0.1547,54,1356,576,14,630
iid,0.44,0.714,0.0869,0.7794,0.1563,53,1375,557,15,610
iid,0.45,0.723,0.0895,0.7794,0.1606,53,1393,539,15,592
iid,0.46,0.7335,0.0928,0.7794,0.1659,53,1414,518,15,571
iid,0.47,0.7445,0.0965,0.7794,0.1718,53,1436,496,15,549
iid,0.48,0.752,0.0993,0.7794,0.1761,53,1451,481,15,534
iid,0.49,0.762,0.1016,0.7647,0.1793,52,1472,460,16,512
iid,0.5,0.7765,0.1077,0.7647,0.1887,52,1501,431,16,483
iid,0.51,0.7875,0.1128,0.7647,0.1966,52,1523,409,16,461
iid,0.52,0.7965,0.1174,0.7647,0.2035,52,1541,391,16,443
iid,0.53,0.8025,0.1189,0.75,0.2052,51,1554,378,17,429
iid,0.54,0.8095,0.1229,0.75,0.2112,51,1568,364,17,415
iid,0.55,0.8155,0.1266,0.75,0.2166,51,1580,352,17,403
iid,0.56,0.823,0.1295,0.7353,0.2203,50,1596,336,18,386
iid,0.57,0.832,0.1339,0.7206,0.2258,49,1615,317,19,366
iid,0.58,0.8425,0.142,0.7206,0.2373,49,1636,296,19,345
iid,0.59,0.849,0.1476,0.7206,0.245,49,1649,283,19,332
iid,0.6,0.854,0.1478,0.6912,0.2435,47,1661,271,21,318
iid,0.61,0.8585,0.1521,0.6912,0.2493,47,1670,262,21,309
iid,0.62,0.866,0.1599,0.6912,0.2597,47,1685,247,21,294
iid,0.63,0.869,0.1608,0.6765,0.2599,46,1692,240,22,286
iid,0.64,0.8785,0.1673,0.6471,0.2659,44,1713,219,24,263
iid,0.65,0.888,0.1803,0.6471,0.2821,44,1732,200,24,244
iid,0.66,0.896,0.1903,0.6324,0.2925,43,1749,183,25,226
iid,0.67,0.904,0.199,0.6029,0.2993,41,1767,165,27,206
iid,0.68,0.907,0.199,0.5735,0.2955,39,1775,157,29,196
iid,0.69,0.9115,0.2086,0.5735,0.3059,39,1784,148,29,187
iid,0.7,0.919,0.2267,0.5735,0.325,39,1799,133,29,172
iid,0.71,0.9205,0.2275,0.5588,0.3234,38,1803,129,30,167
iid,0.72,0.925,0.2372,0.5441,0.3304,37,1813,119,31,156
iid,0.73,0.929,0.25,0.5441,0.3426,37,1821,111,31,148
iid,0.74,0.932,0.2571,0.5294,0.3462,36,1828,104,32,140
iid,0.75,0.9375,0.272,0.5,0.3523,34,1841,91,34,125
iid,0.76,0.944,0.3036,0.5,0.3778,34,1854,78,34,112
iid,0.77,0.947,0.3173,0.4853,0.3837,33,1861,71,35,104
iid,0.78,0.9505,0.3333,0.4559,0.3851,31,1870,62,37,93
iid,0.79,0.956,0.375,0.4412,0.4054,30,1882,50,38,80
iid,0.8,0.9585,0.3913,0.3971,0.3942,27,1890,42,41,69
iid,0.81,0.9605,0.4098,0.3676,0.3876,25,1896,36,43,61
iid,0.82,0.962,0.431,0.3676,0.3968,25,1899,33,43,58
iid,0.83,0.962,0.4231,0.3235,0.3667,22,1902,30,46,52
iid,0.84,0.964,0.4565,0.3088,0.3684,21,1907,25,47,46
iid,0.85,0.9655,0.4878,0.2941,0.367,20,1911,21,48,41
iid,0.86,0.966,0.5,0.2794,0.3585,19,1913,19,49,38
iid,0.87,0.967,0.5312,0.25,0.34,17,1917,15,51,32
iid,0.88,0.9675,0.5517,0.2353,0.3299,16,1919,13,52,29
iid,0.89,0.9675,0.56,0.2059,0.3011,14,1921,11,54,25
iid,0.9,0.9695,0.6842,0.1912,0.2989,13,1926,6,55,19
iid,0.91,0.9685,0.6471,0.1618,0.2588,11,1926,6,57,17
iid,0.92,0.968,0.6667,0.1176,0.2,8,1928,4,60,12
iid,0.93,0.968,0.6667,0.1176,0.2,8,1928,4,60,12
iid,0.94,0.968,0.7,0.1029,0.1795,7,1929,3,61,10
iid,0.95,0.9665,0.6,0.0441,0.0822,3,1930,2,65,5
moderate_non_iid,0.05,0.0675,0.0352,1.0,0.068,68,67,1865,0,1933
moderate_non_iid,0.06,0.089,0.036,1.0,0.0695,68,110,1822,0,1890
moderate_non_iid,0.07,0.1135,0.0369,1.0,0.0712,68,159,1773,0,1841
moderate_non_iid,0.08,0.1395,0.038,1.0,0.0732,68,211,1721,0,1789
moderate_non_iid,0.09,0.152,0.0385,1.0,0.0742,68,236,1696,0,1764
moderate_non_iid,0.1,0.1725,0.0395,1.0,0.0759,68,277,1655,0,1723
moderate_non_iid,0.11,0.192,0.0398,0.9853,0.0766,67,317,1615,1,1682
moderate_non_iid,0.12,0.208,0.0406,0.9853,0.078,67,349,1583,1,1650
moderate_non_iid,0.13,0.233,0.0413,0.9706,0.0792,66,400,1532,2,1598
moderate_non_iid,0.14,0.26,0.0427,0.9706,0.0819,66,454,1478,2,1544
moderate_non_iid,0.15,0.2785,0.0432,0.9559,0.0826,65,492,1440,3,1505
moderate_non_iid,0.16,0.2935,0.0441,0.9559,0.0843,65,522,1410,3,1475
moderate_non_iid,0.17,0.3155,0.0454,0.9559,0.0867,65,566,1366,3,1431
moderate_non_iid,0.18,0.3365,0.0468,0.9559,0.0892,65,608,1324,3,1389
moderate_non_iid,0.19,0.3555,0.0481,0.9559,0.0916,65,646,1286,3,1351
moderate_non_iid,0.2,0.376,0.0496,0.9559,0.0943,65,687,1245,3,1310
moderate_non_iid,0.21,0.3955,0.0504,0.9412,0.0957,64,727,1205,4,1269
moderate_non_iid,0.22,0.407,0.0514,0.9412,0.0974,64,750,1182,4,1246
moderate_non_iid,0.23,0.4265,0.053,0.9412,0.1004,64,789,1143,4,1207
moderate_non_iid,0.24,0.4415,0.0536,0.9265,0.1014,63,820,1112,5,1175
moderate_non_iid,0.25,0.457,0.0551,0.9265,0.104,63,851,1081,5,1144
moderate_non_iid,0.26,0.479,0.0573,0.9265,0.1079,63,895,1037,5,1100
moderate_non_iid,0.27,0.493,0.0588,0.9265,0.1105,63,923,1009,5,1072
moderate_non_iid,0.28,0.509,0.0606,0.9265,0.1137,63,955,977,5,1040
moderate_non_iid,0.29,0.526,0.0626,0.9265,0.1173,63,989,943,5,1006
moderate_non_iid,0.3,0.5365,0.0631,0.9118,0.118,62,1011,921,6,983
moderate_non_iid,0.31,0.5505,0.064,0.8971,0.1195,61,1040,892,7,953
moderate_non_iid,0.32,0.558,0.065,0.8971,0.1213,61,1055,877,7,938
moderate_non_iid,0.33,0.5695,0.0667,0.8971,0.1241,61,1078,854,7,915
moderate_non_iid,0.34,0.585,0.069,0.8971,0.1282,61,1109,823,7,884
moderate_non_iid,0.35,0.5965,0.0688,0.8676,0.1276,59,1134,798,9,857
moderate_non_iid,0.36,0.6115,0.0713,0.8676,0.1318,59,1164,768,9,827
moderate_non_iid,0.37,0.627,0.0741,0.8676,0.1366,59,1195,737,9,796
moderate_non_iid,0.38,0.6425,0.0738,0.8235,0.1354,56,1229,703,12,759
moderate_non_iid,0.39,0.661,0.0776,0.8235,0.1418,56,1266,666,12,722
moderate_non_iid,0.4,0.6695,0.0794,0.8235,0.1449,56,1283,649,12,705
moderate_non_iid,0.41,0.679,0.0804,0.8088,0.1463,55,1303,629,13,684
moderate_non_iid,0.42,0.6925,0.0837,0.8088,0.1517,55,1330,602,13,657
moderate_non_iid,0.43,0.7055,0.0859,0.7941,0.1549,54,1357,575,14,629
moderate_non_iid,0.44,0.714,0.0869,0.7794,0.1563,53,1375,557,15,610
moderate_non_iid,0.45,0.724,0.0898,0.7794,0.1611,53,1395,537,15,590
moderate_non_iid,0.46,0.734,0.093,0.7794,0.1661,53,1415,517,15,570
moderate_non_iid,0.47,0.745,0.0967,0.7794,0.1721,53,1437,495,15,548
moderate_non_iid,0.48,0.7525,0.0979,0.7647,0.1736,52,1453,479,16,531
moderate_non_iid,0.49,0.765,0.1028,0.7647,0.1812,52,1478,454,16,506
moderate_non_iid,0.5,0.7765,0.1077,0.7647,0.1887,52,1501,431,16,483
moderate_non_iid,0.51,0.7875,0.1128,0.7647,0.1966,52,1523,409,16,461
moderate_non_iid,0.52,0.7945,0.1163,0.7647,0.2019,52,1537,395,16,447
moderate_non_iid,0.53,0.804,0.1215,0.7647,0.2097,52,1556,376,16,428
moderate_non_iid,0.54,0.8095,0.1229,0.75,0.2112,51,1568,364,17,415
moderate_non_iid,0.55,0.8165,0.1272,0.75,0.2175,51,1582,350,17,401
moderate_non_iid,0.56,0.8235,0.1299,0.7353,0.2208,50,1597,335,18,385
moderate_non_iid,0.57,0.832,0.1339,0.7206,0.2258,49,1615,317,19,366
moderate_non_iid,0.58,0.842,0.1416,0.7206,0.2367,49,1635,297,19,346
moderate_non_iid,0.59,0.849,0.1476,0.7206,0.245,49,1649,283,19,332
moderate_non_iid,0.6,0.855,0.1509,0.7059,0.2487,48,1662,270,20,318
moderate_non_iid,0.61,0.858,0.1516,0.6912,0.2487,47,1669,263,21,310
moderate_non_iid,0.62,0.864,0.1577,0.6912,0.2568,47,1681,251,21,298
moderate_non_iid,0.63,0.8675,0.1592,0.6765,0.2577,46,1689,243,22,289
moderate_non_iid,0.64,0.8785,0.1673,0.6471,0.2659,44,1713,219,24,263
moderate_non_iid,0.65,0.8875,0.1796,0.6471,0.2812,44,1731,201,24,245
moderate_non_iid,0.66,0.896,0.1903,0.6324,0.2925,43,1749,183,25,226
moderate_non_iid,0.67,0.904,0.2019,0.6176,0.3043,42,1766,166,26,208
moderate_non_iid,0.68,0.9075,0.203,0.5882,0.3019,40,1775,157,28,197
moderate_non_iid,0.69,0.9105,0.2063,0.5735,0.3035,39,1782,150,29,189
moderate_non_iid,0.7,0.9175,0.2229,0.5735,0.321,39,1796,136,29,175
moderate_non_iid,0.71,0.921,0.2289,0.5588,0.3248,38,1804,128,30,166
moderate_non_iid,0.72,0.924,0.2342,0.5441,0.3274,37,1811,121,31,158
moderate_non_iid,0.73,0.9285,0.2483,0.5441,0.341,37,1820,112,31,149
moderate_non_iid,0.74,0.9325,0.2624,0.5441,0.3541,37,1828,104,31,141
moderate_non_iid,0.75,0.9365,0.2677,0.5,0.3487,34,1839,93,34,127
moderate_non_iid,0.76,0.943,0.2982,0.5,0.3736,34,1852,80,34,114
moderate_non_iid,0.77,0.9475,0.3204,0.4853,0.386,33,1862,70,35,103
moderate_non_iid,0.78,0.951,0.3404,0.4706,0.3951,32,1870,62,36,94
moderate_non_iid,0.79,0.956,0.375,0.4412,0.4054,30,1882,50,38,80
moderate_non_iid,0.8,0.9575,0.3803,0.3971,0.3885,27,1888,44,41,71
moderate_non_iid,0.81,0.9605,0.4098,0.3676,0.3876,25,1896,36,43,61
moderate_non_iid,0.82,0.962,0.431,0.3676,0.3968,25,1899,33,43,58
moderate_non_iid,0.83,0.963,0.4423,0.3382,0.3833,23,1903,29,45,52
moderate_non_iid,0.84,0.964,0.4565,0.3088,0.3684,21,1907,25,47,46
moderate_non_iid,0.85,0.9655,0.4884,0.3088,0.3784,21,1910,22,47,43
moderate_non_iid,0.86,0.966,0.5,0.2794,0.3585,19,1913,19,49,38
moderate_non_iid,0.87,0.9665,0.5152,0.25,0.3366,17,1916,16,51,33
moderate_non_iid,0.88,0.9665,0.5172,0.2206,0.3093,15,1918,14,53,29
moderate_non_iid,0.89,0.967,0.5385,0.2059,0.2979,14,1920,12,54,26
moderate_non_iid,0.9,0.9695,0.6667,0.2059,0.3146,14,1925,7,54,21
moderate_non_iid,0.91,0.9685,0.6471,0.1618,0.2588,11,1926,6,57,17
moderate_non_iid,0.92,0.9685,0.6923,0.1324,0.2222,9,1928,4,59,13
moderate_non_iid,0.93,0.968,0.6667,0.1176,0.2,8,1928,4,60,12
moderate_non_iid,0.94,0.968,0.7,0.1029,0.1795,7,1929,3,61,10
moderate_non_iid,0.95,0.9665,0.6,0.0441,0.0822,3,1930,2,65,5
highly_non_iid,0.05,0.0635,0.035,1.0,0.0677,68,59,1873,0,1941
highly_non_iid,0.06,0.0805,0.0357,1.0,0.0689,68,93,1839,0,1907
highly_non_iid,0.07,0.106,0.0366,1.0,0.0707,68,144,1788,0,1856
highly_non_iid,0.08,0.1275,0.0375,1.0,0.0723,68,187,1745,0,1813
highly_non_iid,0.09,0.149,0.0384,1.0,0.074,68,230,1702,0,1770
highly_non_iid,0.1,0.1655,0.0391,1.0,0.0753,68,263,1669,0,1737
highly_non_iid,0.11,0.182,0.0394,0.9853,0.0757,67,297,1635,1,1702
highly_non_iid,0.12,0.1985,0.0401,0.9853,0.0771,67,330,1602,1,1669
highly_non_iid,0.13,0.2195,0.0406,0.9706,0.078,66,373,1559,2,1625
highly_non_iid,0.14,0.241,0.0417,0.9706,0.08,66,416,1516,2,1582
highly_non_iid,0.15,0.2635,0.0429,0.9706,0.0822,66,461,1471,2,1537
highly_non_iid,0.16,0.287,0.0443,0.9706,0.0847,66,508,1424,2,1490
highly_non_iid,0.17,0.302,0.0452,0.9706,0.0864,66,538,1394,2,1460
highly_non_iid,0.18,0.3235,0.0459,0.9559,0.0877,65,582,1350,3,1415
highly_non_iid,0.19,0.345,0.0474,0.9559,0.0903,65,625,1307,3,1372
highly_non_iid,0.2,0.3645,0.0481,0.9412,0.0915,64,665,1267,4,1331
highly_non_iid,0.21,0.3825,0.0494,0.9412,0.0939,64,701,1231,4,1295
highly_non_iid,0.22,0.4025,0.051,0.9412,0.0967,64,741,1191,4,1255
highly_non_iid,0.23,0.418,0.0523,0.9412,0.0991,64,772,1160,4,1224
highly_non_iid,0.24,0.4345,0.0537,0.9412,0.1017,64,805,1127,4,1191
highly_non_iid,0.25,0.45,0.0552,0.9412,0.1042,64,836,1096,4,1160
highly_non_iid,0.26,0.465,0.0559,0.9265,0.1054,63,867,1065,5,1128
highly_non_iid,0.27,0.478,0.0572,0.9265,0.1077,63,893,1039,5,1102
highly_non_iid,0.28,0.497,0.0592,0.9265,0.1113,63,931,1001,5,1064
highly_non_iid,0.29,0.5135,0.0611,0.9265,0.1146,63,964,968,5,1031
highly_non_iid,0.3,0.5235,0.0614,0.9118,0.1151,62,985,947,6,1009
highly_non_iid,0.31,0.5365,0.0631,0.9118,0.118,62,1011,921,6,983
highly_non_iid,0.32,0.55,0.0649,0.9118,0.1211,62,1038,894,6,956
highly_non_iid,0.33,0.5605,0.0663,0.9118,0.1236,62,1059,873,6,935
highly_non_iid,0.34,0.5745,0.0674,0.8971,0.1254,61,1088,844,7,905
highly_non_iid,0.35,0.593,0.0683,0.8676,0.1266,59,1127,805,9,864
highly_non_iid,0.36,0.605,0.0692,0.8529,0.128,58,1152,780,10,838
highly_non_iid,0.37,0.619,0.0705,0.8382,0.1301,57,1181,751,11,808
highly_non_iid,0.38,0.6345,0.0723,0.8235,0.1329,56,1213,719,12,775
highly_non_iid,0.39,0.6485,0.075,0.8235,0.1374,56,1241,691,12,747
highly_non_iid,0.4,0.662,0.0778,0.8235,0.1421,56,1268,664,12,720
highly_non_iid,0.41,0.6715,0.0799,0.8235,0.1456,56,1287,645,12,701
highly_non_iid,0.42,0.684,0.0816,0.8088,0.1482,55,1313,619,13,674
highly_non_iid,0.43,0.6995,0.0855,0.8088,0.1547,55,1344,588,13,643
highly_non_iid,0.44,0.7075,0.0877,0.8088,0.1583,55,1360,572,13,627
highly_non_iid,0.45,0.717,0.0905,0.8088,0.1627,55,1379,553,13,608
highly_non_iid,0.46,0.729,0.0942,0.8088,0.1687,55,1403,529,13,584
highly_non_iid,0.47,0.7355,0.0949,0.7941,0.1695,54,1417,515,14,569
highly_non_iid,0.48,0.7525,0.1009,0.7941,0.1791,54,1451,481,14,535
highly_non_iid,0.49,0.763,0.1051,0.7941,0.1856,54,1472,460,14,514
highly_non_iid,0.5,0.7705,0.1066,0.7794,0.1876,53,1488,444,15,497
highly_non_iid,0.51,0.7785,0.1069,0.75,0.1872,51,1506,426,17,477
highly_non_iid,0.52,0.789,0.1101,0.7353,0.1916,50,1528,404,18,454
highly_non_iid,0.53,0.7985,0.1149,0.7353,0.1988,50,1547,385,18,435
highly_non_iid,0.54,0.8105,0.1217,0.7353,0.2088,50,1571,361,18,411
highly_non_iid,0.55,0.8155,0.1247,0.7353,0.2132,50,1581,351,18,401
highly_non_iid,0.56,0.823,0.1295,0.7353,0.2203,50,1596,336,18,386
highly_non_iid,0.57,0.833,0.1366,0.7353,0.2304,50,1616,316,18,366
highly_non_iid,0.58,0.843,0.1424,0.7206,0.2379,49,1637,295,19,344
highly_non_iid,0.59,0.847,0.1437,0.7059,0.2388,48,1646,286,20,334
highly_non_iid,0.6,0.854,0.1478,0.6912,0.2435,47,1661,271,21,318
highly_non_iid,0.61,0.8615,0.1551,0.6912,0.2534,47,1676,256,21,303
highly_non_iid,0.62,0.8695,0.1614,0.6765,0.2606,46,1693,239,22,285
highly_non_iid,0.63,0.8765,0.1673,0.6618,0.2671,45,1708,224,23,269
highly_non_iid,0.64,0.8825,0.1751,0.6618,0.2769,45,1720,212,23,257
highly_non_iid,0.65,0.8925,0.1872,0.6471,0.2904,44,1741,191,24,235
highly_non_iid,0.66,0.894,0.187,0.6324,0.2886,43,1745,187,25,230
highly_non_iid,0.67,0.902,0.1981,0.6176,0.3,42,1762,170,26,212
highly_non_iid,0.68,0.907,0.2079,0.6176,0.3111,42,1772,160,26,202
highly_non_iid,0.69,0.91,0.2053,0.5735,0.3023,39,1781,151,29,190
highly_non_iid,0.7,0.9155,0.2147,0.5588,0.3102,38,1793,139,30,177
highly_non_iid,0.71,0.92,0.2195,0.5294,0.3103,36,1804,128,32,164
highly_non_iid,0.72,0.9235,0.2293,0.5294,0.32,36,1811,121,32,157
highly_non_iid,0.73,0.9305,0.2517,0.5294,0.3412,36,1825,107,32,143
highly_non_iid,0.74,0.9355,0.2707,0.5294,0.3582,36,1835,97,32,133
highly_non_iid,0.75,0.941,0.2881,0.5,0.3656,34,1848,84,34,118
highly_non_iid,0.76,0.9435,0.2973,0.4853,0.3687,33,1854,78,35,111
highly_non_iid,0.77,0.949,0.3229,0.4559,0.378,31,1867,65,37,96
highly_non_iid,0.78,0.952,0.3333,0.4118,0.3684,28,1876,56,40,84
highly_non_iid,0.79,0.957,0.375,0.3971,0.3857,27,1887,45,41,72
highly_non_iid,0.8,0.9615,0.4286,0.3971,0.4122,27,1896,36,41,63
highly_non_iid,0.81,0.9635,0.4561,0.3824,0.416,26,1901,31,42,57
highly_non_iid,0.82,0.9645,0.4717,0.3676,0.4132,25,1904,28,43,53
highly_non_iid,0.83,0.9655,0.4898,0.3529,0.4103,24,1907,25,44,49
highly_non_iid,0.84,0.966,0.5,0.3088,0.3818,21,1911,21,47,42
highly_non_iid,0.85,0.966,0.5,0.2647,0.3462,18,1914,18,50,36
highly_non_iid,0.86,0.9665,0.5161,0.2353,0.3232,16,1917,15,52,31
highly_non_iid,0.87,0.9665,0.5172,0.2206,0.3093,15,1918,14,53,29
highly_non_iid,0.88,0.9675,0.5556,0.2206,0.3158,15,1920,12,53,27
highly_non_iid,0.89,0.9685,0.619,0.1912,0.2921,13,1924,8,55,21
highly_non_iid,0.9,0.968,0.6111,0.1618,0.2558,11,1925,7,57,18
highly_non_iid,0.91,0.9685,0.6923,0.1324,0.2222,9,1928,4,59,13
highly_non_iid,0.92,0.968,0.6667,0.1176,0.2,8,1928,4,60,12
highly_non_iid,0.93,0.968,0.7,0.1029,0.1795,7,1929,3,61,10
highly_non_iid,0.94,0.967,0.625,0.0735,0.1316,5,1929,3,63,8
highly_non_iid,0.95,0.9665,0.6667,0.0294,0.0563,2,1931,1,66,3
